"","id","obs","time","public","observation","l","q"
"1","id1","t1",0.5,0,4,-0.707106781186548,0.408248290463863
"2","id2","t2",1.5,0,6,-7.85046229341888e-17,-0.816496580927726
"3","id3","t3",2.5,0,6,0.707106781186547,0.408248290463863
"4","id4","t1",0.5,0,3,-0.707106781186548,0.408248290463863
"5","id5","t2",1.5,0,5,-7.85046229341888e-17,-0.816496580927726
"6","id6","t3",2.5,0,5,0.707106781186547,0.408248290463863
"7","id7","t1",0.5,0,1,-0.707106781186548,0.408248290463863
"8","id8","t2",1.5,0,3,-7.85046229341888e-17,-0.816496580927726
"9","id9","t3",2.5,0,3,0.707106781186547,0.408248290463863
"10","id10","t1",0.5,0,2,-0.707106781186548,0.408248290463863
"11","id11","t2",1.5,0,2,-7.85046229341888e-17,-0.816496580927726
"12","id12","t3",2.5,0,4,0.707106781186547,0.408248290463863
"13","id13","t1",0.5,0,3,-0.707106781186548,0.408248290463863
"14","id14","t2",1.5,0,4,-7.85046229341888e-17,-0.816496580927726
"15","id15","t3",2.5,0,5,0.707106781186547,0.408248290463863
"16","id16","t1",0.5,0,3,-0.707106781186548,0.408248290463863
"17","id17","t2",1.5,0,3,-7.85046229341888e-17,-0.816496580927726
"18","id18","t3",2.5,0,3,0.707106781186547,0.408248290463863
"19","id19","t1",0.5,0,3,-0.707106781186548,0.408248290463863
"20","id20","t2",1.5,0,4,-7.85046229341888e-17,-0.816496580927726
"21","id21","t3",2.5,0,5,0.707106781186547,0.408248290463863
"22","id22","t1",0.5,0,2,-0.707106781186548,0.408248290463863
"23","id23","t2",1.5,0,1,-7.85046229341888e-17,-0.816496580927726
"24","id24","t3",2.5,0,1,0.707106781186547,0.408248290463863
"25","id25","t1",0.5,0,2,-0.707106781186548,0.408248290463863
"26","id26","t2",1.5,0,3,-7.85046229341888e-17,-0.816496580927726
"27","id27","t3",2.5,0,4,0.707106781186547,0.408248290463863
"28","id28","t1",0.5,0,2,-0.707106781186548,0.408248290463863
"29","id29","t2",1.5,0,4,-7.85046229341888e-17,-0.816496580927726
